State,PWSName,County
AL,ODENVILLE,St. Clair County
AL,ALEXANDER CITY WATER DEPARTMENT,Tallapoosa County
AL,DADEVILLE WATER WORKS & SEWAGE BOARD,Tallapoosa County
AL,WALNUT HILL WATER AUTHORITY,Tallapoosa County
AL,COALING WATER AUTHORITY,Tuscaloosa County
AL,FOSTERS-RALPH WATER AUTHORITY,Tuscaloosa County
AL,MITCHELL WATER SYSTEM INC,Tuscaloosa County
AL,TUSCALOOSA WATER & SEWER,Tuscaloosa County
AL,PARRISH WATER WORKS BOARD,Walker County
AL,SUMITON WATER WORKS BOARD,Walker County
AL,MCINTOSH WATER & FIRE PRO AUTHORITY,Washington County
AL,ADDISON WATER WORKS,Winston County
AL,HALEYVILLE WATER WORKS & SEWER BOARD,Winston County
AL,CURRY WATER AUTHORITY,Walker County
AL,NEW LONDON WATER & FIRE PRO AUTHORITY,St. Clair County
AL,SOUTH MARENGO CO WATER & FIRE PRO AUTH,Marengo County
AL,BUTLER COUNTY WATER AUTHORITY,Butler County
AL,RANDOLPH COUNTY WATER & SEWER AUTHORITY,Randolph County
AL,CENTRAL TALLADEGA COUNTY WATER AUTHORITY,Talladega County
AL,JACKSON COUNTY WATER AUTHORITY,Jackson County
AL,EAST CENTRAL BALDWIN COUNTY WATER & FPA,Baldwin County
AL,AUTAUGA CO WATER AUTHORITY,Autauga County
AL,PRATTVILLE,Autauga County
AL,DAPHNE,Baldwin County
AL,FOLEY,Baldwin County
AL,ROBERTSDALE,Baldwin County
AL,SPANISH FORT WATER SYSTEM,Baldwin County
AL,EUFAULA WATER WORKS,Barbour County
AL,MT ANDREW WATER AUTHORITY,Barbour County
AL,CLEVELAND WATER WORKS,Blount County
AL,SNEAD WATER WORKS,Blount County
AL,SOUTH BULLOCK COUNTY WATER AUTHORITY,Bullock County
AL,CALHOUN COUNTY WATER & FIRE PR AUTHORITY,Calhoun County
AL,ANNISTON WATER & SEWER BOARD,Calhoun County
AL,"JACKSONVILLE WATER WORKS, GAS AND SEWER",Calhoun County
AL,OXFORD WATER WORKS & SEWER BOARD,Calhoun County
AL,HUGULEY WATER AUTHORITY,Chambers County
AL,JEMISON WATER WORKS,Chilton County
AL,THORSBY WATER WORKS BOARD,Chilton County
AL,CHILTON WATER AUTHORITY,Chilton County
AL,NORTH CHOCTAW WATER & SEWER AUTHORITY,Choctaw County
AL,GROVE HILL WATER WORKS,Clarke County
AL,OLD LINE WATER SYSTEM,Clarke County
AL,ASHLAND WATER & SEWER BOARD,Clay County
AL,LITTLEVILLE WATERWORKS,Colbert County
AL,MUSCLE SHOALS UTILITY BOARD,Colbert County
AL,SPRING VALLEY WATER AUTHORITY,Colbert County
AL,TUSCUMBIA WATER WORKS,Colbert County
AL,STEWARTVILLE WATER AUTHORITY,Coosa County
AL,OPP UTILITIES BOARD,Covington County
AL,OWASSA-BROWNSVILLE WATER AUTHORITY,Conecuh County
AL,CULLMAN COUNTY WATER DEPARTMENT,Cullman County
AL,EAST CULLMAN WATER SYSTEM,Cullman County
AL,"JOPPA, HULACO & RYAN WATER AUTHORITY",Cullman County
AL,"V.A.W. WATER SYSTEM, INC",Cullman County
AL,DALEVILLE WATER & SEWER BOARD,Dale County
AL,DALLAS COUNTY WATER & SEWER AUTHORITY,Dallas County
AL,SELMA WATER WORKS & SEWER BOARD,Dallas County
AL,FORT PAYNE WATER WORKS BOARD,DeKalb County
AL,TALLASSEE WATER WORKS,Tallapoosa County
AL,WETUMPKA WATER WORKS & SEWER BOARD,Elmore County
AL,FREEMANVILLE WATER SYSTEM,Escambia County
AL,FORDS VALLEY & HWY  WATER,Etowah County
AL,GLENCOE WATER WORKS BOARD,Etowah County
AL,HIGHLAND WATER AUTHORITY,Etowah County
AL,WEST ETOWAH WATER & FIRE PRO AUTHORITY,Etowah County
AL,SOUTHSIDE WATER WORKS,Etowah County
AL,"BERRY WATER DEPARTMENT, TOWN OF",Fayette County
AL,RED BAY WATER & GAS BOARD,Franklin County
AL,ABBEVILLE WATER WORKS & SEWER BOARD,Henry County
AL,DOTHAN UTILITIES,Houston County
AL,SECTION-DUTTON WATER SYSTEM,DeKalb County
AL,BESSEMER WATER SERVICE,Jefferson County
AL,BIRMINGHAM WATER WORKS BOARD,Jefferson County
AL,MULGA WATER WORKS AND GAS DEPARTMENT,Jefferson County
AL,TRUSSVILLE UTILITIES,Jefferson County
AL,VERNON WATER AND SEWER BOARD,Lamar County
AL,WEST LAUDERDALE CO WATER & FPA,Lauderdale County
AL,WEST LAWRENCE WATER COOP,Lawrence County
AL,LOACHAPOKA WATER AUTHORITY,Lee County
AL,SMITHS WATER AND SEWER AUTHORITY,Lee County
AL,LIMESTONE COUNTY WATER SYSTEM,Limestone County
AL,HARVEST-MONROVIA WATER SYSTEM,Madison County
AL,MADISON WATER WORKS & SEWER,Madison County
AL,MADISON COUNTY WATER DEPARTMENT,Madison County
AL,OWENS CROSSROADS WATER AUTHORITY,Madison County
AL,DEMOPOLIS WATER WORKS AND SEWER BOARD,Marengo County
AL,GUIN WATER & SEWER BOARD,Marion County
AL,ALBERTVILLE UTILITIES BOARD,Marshall County
AL,BOAZ WATER & SEWER BOARD,Marshall County
AL,DOUGLAS WATER AUTHORITY,Marshall County
AL,SARDIS CITY WATER BOARD,Etowah County
AL,GRAND BAY WATER WORKS BOARD,Mobile County
AL,MOBILE BOARD OF WATER AND SEWER COMM.,Mobile County
AL,SATSUMA WATER WORKS,Mobile County
AL,ST. ELMO-IRVINGTON WATER AUTHORITY,Mobile County
AL,EXCEL WATER SYSTEM,Monroe County
AL,"PINTLALA WATER SYSTEM, INC.",Montgomery County
AL,HARTSELLE UTILITY BOARD,Morgan County
AL,NE MORGAN CO WATER AND SEWER AUTHORITY,Morgan County
AL,ALICEVILLE WATER & SEWER BOARD,Pickens County
AL,BRUNDIDGE WATER DEPARTMENT,Pike County
AL,TROY UTILITIES,Pike County
AL,FT MITCHELL WATER SYSTEM,Russell County
AL,PHENIX CITY UTILITIES,Russell County
AL,ALABASTER WATER BOARD,Shelby County
AL,CALERA WATER WORKS,Shelby County
AL,MONTEVALLO WATER WORKS & SEWER,Shelby County
AL,STERRETT-VANDIVER WATER SYSTEM,Shelby County
AL,PELL CITY WATER WORKS,St. Clair County
AL,RIVERSIDE,St. Clair County
AL,WATTSVILLE WATER AUTHORITY,St. Clair County
AL,LIVINGSTON WATER WORKS,Sumter County
AL,SUMTER COUNTY WATER AUTHORITY,Sumter County
AL,FAYETTEVILLE WATER  AUTHORITY,Talladega County
AL,LINCOLN,Talladega County
AL,SYLACAUGA UTILITIES BOARD,Talladega County
AL,"BUHL, ELROD & HOLMAN WATER AUTHORITY",Tuscaloosa County
AL,NORTHPORT WATER WORKS,Tuscaloosa County
AL,BOLDO WATER & FIRE PROT. AUTHORITY,Walker County
AL,CORDOVA WATER WORKS & GAS BOARD,Walker County
AL,JASPER WATER WORKS AND SEWER BOARD,Walker County
AL,DEER PARK-VINEGAR BEND WATER & FPA,Washington County
AL,DOUBLE SPRINGS W&S BOARD,Winston County
AL,ARDMORE WATER SYSTEM,Limestone County
AL,NORTHEAST ALABAMA WATER SYSTEM,DeKalb County
AL,SOUTHWEST ALABAMA WATER AUTHORITY,Monroe County
AL,COOK SPRINGS WATER AUTHORITY,St. Clair County
AL,FORT RUCKER - AMERICAN WATER,Dale County
AL,FRANKLIN COUNTY WATER SERVICES AUTHORITY,Franklin County
AL,MYRTLEWOOD WATER SYSTEM,Marengo County
AL,QUINT-MAR WATER AUTHORITY,Crenshaw County
AL,LOWNDES COUNTY WATER SYSTEM,Lowndes County
AL,CARROLLS CREEK WATER AUTHORITY,Tuscaloosa County
AL,SHELBY COUNTY WATER SYSTEM,Shelby County
AL,MARION COUNTY PUBLIC WATER AUTHORITY,Marion County
AL,WEST AUTAUGA WATER AUTHORITY,Autauga County
AL,HOUSTON COUNTY WATER AUTHORITY,Houston County
AL,DEKALB-JACKSON WATER SUPPLY DISTRICT,DeKalb County
AR,Forrest City Waterworks,St. Francis County
AR,Mountain Home Waterworks,Baxter County
AR,Bella Vista POA,Benton County
AR,Bentonville Water Utilities,Benton County
AR,Centerton Waterworks,Benton County
AR,Rogers Water Utilities,Benton County
AR,Siloam Springs Waterworks,Benton County
